"N","Time"
"0","3397"
"1000","5616"
"2000","11182"
"3000","15613"
"4000","19822"
"5000","24615"
"6000","30072"
"7000","54620"
"8000","61300"
"9000","43475"
"10000","48985"
"11000","51924"
"12000","58806"
"13000","62162"
"14000","65868"
"15000","107363"
"16000","94071"
"17000","82447"
"18000","42620"
"19000","36107"
"20000","35479"
"21000","46145"
"22000","45309"
"23000","54012"
"24000","57118"
"25000","56926"
"26000","73679"
"27000","68219"
"28000","117115"
"29000","81380"
"30000","77949"
"31000","72562"
"32000","70824"
"33000","73572"
"34000","69601"
"35000","77698"
"36000","86847"
"37000","80450"
"38000","84515"
"39000","83312"
"40000","96730"
"41000","81201"
"42000","98496"
"43000","97303"
"44000","71549"
"45000","58411"
"46000","60347"
"47000","59582"
"48000","57848"
"49000","63778"
"50000","69187"
"51000","88730"
"52000","74124"
"53000","81780"
"54000","86492"
"55000","75512"
"56000","89676"
"57000","86446"
"58000","88534"
"59000","78257"
"60000","70328"
"61000","81769"
"62000","96500"
"63000","105250"
"64000","95549"
"65000","91533"
"66000","103124"
"67000","103414"
"68000","132221"
"69000","124651"
"70000","130305"
"71000","111456"
"72000","95391"
"73000","111271"
"74000","133597"
"75000","113625"
"76000","108248"
"77000","105338"
"78000","114892"
"79000","124778"
"80000","119362"
"81000","118677"
"82000","114632"
"83000","108409"
"84000","113066"
"85000","139519"
"86000","129608"
"87000","119528"
"88000","121915"
"89000","128609"
"90000","126602"
"91000","150193"
"92000","141306"
"93000","129217"
"94000","127583"
"95000","124905"
"96000","129101"
"97000","121548"
"98000","126945"
"99000","159984"
"100000","164499"
"101000","165541"
"102000","158172"
"103000","258612"
"104000","231844"
"105000","192898"
"106000","209852"
"107000","206051"
"108000","212938"
"109000","197845"
"110000","236126"
"111000","234126"
"112000","261981"
"113000","250978"
"114000","240236"
"115000","263927"
"116000","241202"
"117000","246302"
"118000","240380"
"119000","278634"
"120000","250534"
"121000","245261"
"122000","233281"
"123000","238325"
"124000","219215"
"125000","227456"
"126000","242581"
"127000","254916"
"128000","288432"
"129000","261980"
"130000","264365"
"131000","252810"
"132000","267898"
"133000","307260"
"134000","265902"
"135000","275358"
"136000","268539"
"137000","279529"
"138000","265223"
"139000","267816"
"140000","244333"
"141000","244376"
"142000","261291"
"143000","264311"
"144000","289796"
"145000","270471"
"146000","277243"
"147000","283994"
"148000","276091"
"149000","285944"
"150000","283683"
"151000","324504"
"152000","344431"
"153000","329728"
"154000","324577"
"155000","360262"
"156000","326144"
"157000","343119"
"158000","288813"
"159000","286991"
"160000","305927"
"161000","321718"
"162000","329705"
"163000","313482"
"164000","328597"
"165000","338833"
"166000","359506"
"167000","355622"
"168000","366605"
"169000","887074"
"170000","463935"
"171000","400212"
"172000","375600"
"173000","395606"
"174000","352153"
"175000","412837"
"176000","400734"
"177000","391436"
"178000","381289"
"179000","372390"
"180000","363679"
"181000","428938"
"182000","371267"
"183000","398572"
"184000","368456"
"185000","409455"
"186000","404659"
"187000","439276"
"188000","410869"
"189000","442656"
"190000","437110"
"191000","443494"
"192000","403749"
"193000","415517"
"194000","414805"
"195000","402897"
"196000","388107"
"197000","381810"
"198000","377884"
"199000","373514"
"200000","386345"
"201000","364400"
"202000","397327"
"203000","382987"
"204000","427679"
"205000","418054"
"206000","413977"
"207000","420585"
"208000","399679"
"209000","385006"
"210000","457300"
"211000","475504"
"212000","478472"
"213000","488481"
"214000","504803"
"215000","493875"
"216000","496518"
"217000","528232"
"218000","502150"
"219000","484322"
"220000","503737"
"221000","517925"
"222000","496501"
"223000","520735"
"224000","483912"
"225000","483487"
"226000","519842"
"227000","512652"
"228000","508283"
"229000","499751"
"230000","526001"
"231000","477513"
"232000","505960"
"233000","608623"
"234000","528351"
"235000","530290"
"236000","549500"
"237000","557445"
"238000","550673"
"239000","576790"
"240000","583056"
"241000","586066"
"242000","582651"
"243000","619479"
"244000","571953"
"245000","564031"
"246000","667837"
"247000","576384"
"248000","562547"
"249000","554709"
"250000","536935"
"251000","496957"
"252000","496210"
"253000","528310"
"254000","528240"
"255000","592785"
"256000","598334"
"257000","570158"
"258000","622065"
"259000","621078"
"260000","594194"
"261000","583298"
"262000","571908"
"263000","547024"
"264000","538999"
"265000","594868"
"266000","539704"
"267000","566031"
"268000","576125"
"269000","538979"
"270000","559034"
"271000","502821"
"272000","473836"
"273000","471531"
"274000","449737"
"275000","454594"
"276000","447180"
"277000","443158"
"278000","412234"
"279000","424283"
"280000","430773"
"281000","425610"
"282000","426286"
"283000","417633"
"284000","428309"
"285000","454104"
"286000","431325"
"287000","451208"
"288000","447924"
"289000","457258"
"290000","488042"
"291000","480398"
"292000","487497"
"293000","479599"
"294000","446962"
"295000","442352"
"296000","436724"
"297000","447993"
"298000","456712"
"299000","453014"
"300000","452110"
"301000","449122"
"302000","448001"
"303000","507247"
"304000","548583"
"305000","546345"
"306000","540117"
"307000","538025"
"308000","486322"
"309000","469922"
"310000","476478"
"311000","476761"
"312000","474869"
"313000","483641"
"314000","479972"
"315000","480195"
"316000","478161"
"317000","476567"
"318000","477723"
"319000","584626"
"320000","607190"
"321000","608011"
"322000","602152"
"323000","570886"
"324000","571858"
"325000","575643"
"326000","556710"
"327000","537310"
"328000","526919"
"329000","534183"
"330000","532439"
"331000","531409"
"332000","562238"
"333000","666660"
"334000","629851"
"335000","628357"
"336000","613960"
"337000","509983"
"338000","535718"
"339000","557487"
"340000","558122"
"341000","562946"
"342000","555604"
"343000","552985"
"344000","550881"
"345000","589043"
"346000","612658"
"347000","603696"
"348000","607737"
"349000","605954"
"350000","629042"
"351000","609284"
"352000","611211"
"353000","607029"
"354000","601512"
"355000","596025"
"356000","597401"
"357000","760094"
"358000","750764"
"359000","714301"
"360000","703812"
"361000","712642"
"362000","683361"
"363000","673536"
"364000","673633"
"365000","728019"
"366000","690288"
"367000","685869"
"368000","769168"
"369000","923664"
"370000","936555"
"371000","895656"
"372000","902343"
"373000","891663"
"374000","889592"
"375000","888252"
"376000","892408"
"377000","912839"
"378000","941015"
"379000","931479"
"380000","926022"
"381000","960711"
"382000","921888"
"383000","967924"
"384000","876276"
"385000","747064"
"386000","735055"
"387000","722029"
"388000","712168"
"389000","693934"
"390000","688274"
"391000","686669"
"392000","700444"
"393000","698435"
"394000","686936"
"395000","706571"
"396000","722574"
"397000","716931"
"398000","733416"
"399000","727378"
"400000","725242"
"401000","720183"
"402000","712634"
"403000","709314"
"404000","709358"
"405000","711835"
"406000","772555"
"407000","746922"
"408000","745862"
"409000","732755"
"410000","723718"
"411000","723043"
"412000","774763"
"413000","742725"
"414000","737755"
"415000","736864"
"416000","763486"
"417000","758854"
"418000","754719"
"419000","788682"
"420000","779049"
"421000","768716"
"422000","770647"
"423000","761267"
"424000","777924"
"425000","768827"
"426000","789820"
"427000","785610"
"428000","775109"
